Description,Chat,Model,Output 
,,,
Deep Research Examples,,,
Geopolitical situation in South Korea,https://chatgpt.com/share/692efd6c-e05c-8001-8c6c-c5dd1bb8ebcd,ChatGPT,https://github.com/mullinsean/ai_training_2026/blob/main/examples/workshop4/Recent Political and Geopolitical Developments in South Korea (2022%E2%80%932025).pdf
History of Bill C-27 (Digital Charter Act),https://gemini.google.com/share/a07a94650ae7,Gemini,https://github.com/mullinsean/ai_training_2026/blob/main/examples/workshop4/Bill C-27 Hansard Review.pdf
Media & Stakeholder Reception to Budget 2025,https://gemini.google.com/share/1f9039ad51ca,Gemini,https://github.com/mullinsean/ai_training_2026/blob/main/examples/workshop4/Budget 2025 Climate Policy Scan.pdf
Analysis of Canada's Critical Minerals Sector,https://www.perplexity.ai/search/510af542-fb98-4a22-b2ce-264d733663c7?preview=1,Perplexity.ai,https://www.perplexity.ai/computer/a/5c01fcba-6254-4012-b2d2-ac66dd86cf4c
,,,
,,,
NotebookLM Example,https://notebooklm.google.com/notebook/ea1a2092-36a8-47ee-9727-dfb48baa4293,,
Advanced Techniques,https://gemini.google.com/share/3b05ae3a781f,,
