Description,Chat,Output 
,,
Part 1:  Data Analysis with Excel,,
,,
Explore Data Set (Claude),https://claude.ai/share/372ef98d-d2de-41b0-9b4b-0777eea61653,https://claude.ai/public/artifacts/9f77c1a6-543c-4ac1-9943-bfe1871c1152
Explore Data Set (ChatGPT),https://chatgpt.com/share/6a0bc333-51e8-83ea-9d77-d72356485f24,https://github.com/mullinsean/ai_training_2026/blob/main/examples/workshop3/2025_canada_fuel_efficiency_by_manufacturer%20-%20chatgpt.xlsx
Explore Data Set (Gemini),,
Build a Model in Excel (Claude),https://claude.ai/share/372ef98d-d2de-41b0-9b4b-0777eea61653,https://github.com/mullinsean/ai_training_2026/blob/main/examples/workshop3/hybrid-breakeven-model%20-%20claude.xlsx
Build a Model in Excel (ChatGPT),https://chatgpt.com/share/6a0bc333-51e8-83ea-9d77-d72356485f24,https://github.com/mullinsean/ai_training_2026/blob/main/examples/workshop3/hybrid_vehicle_breakeven_model%20-%20chatgpt.xlsx
Build a Model in Excel(Gemini),,https://github.com/mullinsean/ai_training_2026/blob/main/examples/workshop3/Break_Even_Calculator%20-%20gemini.xlsx
Investigate Trends (Claude),https://claude.ai/share/528f80e9-6881-4227-9926-a759f711cce9,https://github.com/mullinsean/ai_training_2026/blob/main/examples/workshop3/canada_fuel_economy_change_2015-2025.xlsx
Generating Insights,https://claude.ai/share/528f80e9-6881-4227-9926-a759f711cce9,https://claude.ai/public/artifacts/682b58c6-13f0-43d0-9059-b0455338d9d2
,,
Part 2: Creating a Powerpoint Presentation,,
,,
Generating an outline,https://claude.ai/share/289f56fe-6024-49a1-a415-ef8ed594897f,https://claude.ai/public/artifacts/84afed48-3985-4754-bda2-ddea8fd0d9f2
Creating the presentation: Claude,https://claude.ai/share/15fd24b7-a019-4fc0-be7d-fa2a1415d073,https://github.com/mullinsean/ai_training_2026/blob/main/examples/workshop3/Canada_DIS_Report_Presentation%20-%20Claude.pptx
Creating the presentation: ChatGPT,https://chatgpt.com/share/6a0c53bd-1a80-83ea-9587-4571131d28d4,https://github.com/mullinsean/ai_training_2026/blob/main/examples/workshop3/DIS_report_overview_draft%20-%20ChatGPT.pptx
Creating the presentation: Gemini,https://gemini.google.com/share/06f93314be95,https://gemini.google.com/share/e60a3b8bb50b
